维度,指标ID,评分规则（0-5）,通过阈值,判定方式,失败分级,备注
Gate,GATE-01,P0 用例通过率,100%,04 表中 P0 全部为 P,P0,任何 P0 失败即本轮不通过
Gate,GATE-02,P1 用例通过率,>= 90%,04 表中 P1 用例统计,P1,P1 失败可带 owner+ETA 暂缓
UI Harmony,UI-01,视觉层级：标题/正文/辅助文案层次清晰,>= 4,人工审查 + 截图比对 UI_STYLE_GUIDE,P1,混排场景需看中英文一致性
UI Harmony,UI-02,间距与密度：表单/表格/卡片间距一致,>= 4,桌面+移动截图对比,P1,禁止局部组件尺寸突兀
UI Harmony,UI-03,颜色与状态：主次按钮、成功/警告/错误提示统一,>= 4,状态截图抽检,P1,颜色语义不能反转
UI Harmony,UI-04,响应式：390x844 可完整操作，无横向滚动,>= 4,设备模拟 + 页面实操,P0,移动端阻断属于高优问题
UX,UX-01,误操作防护：危险操作有确认/禁用中状态,>= 5,重点看删除/写入链路,P0,无确认直接删除判 P0
UX,UX-02,反馈时效：点击后即时有 loading 或状态变化,>= 4,录屏或连续截图,P1,无反馈易导致重复提交
UX,UX-03,错误可理解：错误文案能指导下一步动作,>= 4,制造 401/403/404 场景验证,P1,仅报 technical error 需降级
UX,UX-04,恢复路径：错误后可回退/重试/切换路径,>= 4,手工回退验证,P1,卡死流程视为不通过
Functional,FN-01,接口返回与页面行为一致,100%,Network + UI 联动核对,P0,例如 403 不得展示成功提示
Functional,FN-02,控制台与网络错误可追踪,100%,Console 无红错，失败场景有 req id/接口证据,P1,必须能定位到接口或前端状态
Score,TOTAL,建议总分 = UI(40) + UX(40) + Functional(20),>= 85/100,汇总打分,P1,Blocked 场景不计分，但必须挂任务
